Date,Symbol,Open,High,Low,Volume From,Volume To,Close
4/21/2017,BTCUSD,1238.45,1256,1237.5,4460.49,5557584.14,1250
4/22/2017,BTCUSD,1250,1250,1226,1637.49,2036284.75,1247.66
4/23/2017,BTCUSD,1247.66,1250.48,1235.46,1514.49,1886267.18,1247.83
4/24/2017,BTCUSD,1247.83,1259.91,1240.21,4462.42,5575223.29,1255.71
4/25/2017,BTCUSD,1255.71,1282.87,1253.96,4145.89,5270743.84,1282.56
4/26/2017,BTCUSD,1282.56,1314.05,1278.89,6360.84,8239433.07,1294.91
4/27/2017,BTCUSD,1294.91,1370,1293.07,11591.4,15592322.34,1346.04
4/28/2017,BTCUSD,1346.04,1367.65,1300,15562.73,20895489.53,1347.19
4/29/2017,BTCUSD,1347.19,1355.1,1330.9,2133.4,2868277.71,1351.08
4/30/2017,BTCUSD,1351.08,1363.84,1325,1982.65,2658879.77,1362.63
5/1/2017,BTCUSD,1362.63,1480,1352.8,19714.91,28391677.51,1440.82
5/2/2017,BTCUSD,1440.82,1489.61,1421.11,6791.27,9877052.25,1464.94
5/3/2017,BTCUSD,1464.94,1535.6,1444.99,5684.8,8447912.24,1517.95
5/4/2017,BTCUSD,1517.95,1650,1475.01,9561.6,14883276.29,1550
5/5/2017,BTCUSD,1550,1626.73,1521.24,7434.68,11662171.4,1546.93
5/6/2017,BTCUSD,1546.93,1585.6,1546.92,2347.5,3684798.06,1580.99
5/7/2017,BTCUSD,1580.99,1609,1566.14,2752.06,4365686.53,1602.17
5/8/2017,BTCUSD,1602.17,1686.39,1602.17,8776.49,14331745.14,1686.39
5/9/2017,BTCUSD,1686.39,1779,1681.93,9382.65,16257862.59,1719.51
5/10/2017,BTCUSD,1719.51,1796.01,1698,7849.45,13849146.09,1793.26
5/11/2017,BTCUSD,1793.26,1884,1775,17803.68,32420035.36,1834.1
5/12/2017,BTCUSD,1834.1,1838.59,1657.86,15969.6,28152441.08,1694.64
