Symbol,Date,Open,High,Low,Close,Volume
ENGRO,14-Oct-2009,177.84,182.20,177.20,179.28,6257581
ENGRO,15-Oct-2009,182.50,184.25,180.50,182.38,7647594
ENGRO,16-Oct-2009,183.90,184.00,178.12,179.77,3276359
ENGRO,19-Oct-2009,179.49,179.50,170.79,171.10,3724162
ENGRO,20-Oct-2009,173.50,175.50,170.00,172.66,2375455
ENGRO,21-Oct-2009,171.00,171.50,164.03,164.26,2876272
ENGRO,22-Oct-2009,163.25,166.00,157.50,163.20,2365045
ENGRO,23-Oct-2009,163.10,165.10,160.50,161.50,1220460
ENGRO,26-Oct-2009,162.95,166.00,162.00,164.65,1318107
ENGRO,27-Oct-2009,166.49,168.25,164.40,165.04,2934375
ENGRO,28-Oct-2009,165.20,170.30,161.75,167.15,5265375
ENGRO,29-Oct-2009,167.20,168.40,162.05,164.22,1605043
ENGRO,30-Oct-2009,165.00,167.50,165.00,165.63,1524548
ENGRO,02-Nov-2009,165.79,166.85,157.35,158.61,2367570
ENGRO,03-Nov-2009,160.00,161.95,157.50,160.90,2385981
ENGRO,04-Nov-2009,161.97,167.65,161.97,166.18,3471037
ENGRO,05-Nov-2009,167.95,173.65,166.00,170.72,6693387
ENGRO,06-Nov-2009,170.55,172.20,167.20,170.19,3293693
ENGRO,10-Nov-2009,170.90,171.60,165.25,168.08,1560733
ENGRO,11-Nov-2009,166.10,175.25,166.00,172.90,3335336
ENGRO,12-Nov-2009,174.75,179.50,174.40,177.90,6283795
ENGRO,13-Nov-2009,176.87,181.80,176.25,181.00,3490648
ENGRO,16-Nov-2009,181.00,184.44,180.01,182.08,2736386
ENGRO,17-Nov-2009,182.75,183.24,177.10,177.71,1881044
ENGRO,18-Nov-2009,178.10,180.60,176.25,177.15,2221833
ENGRO,19-Nov-2009,176.50,178.32,176.20,177.76,1202904
ENGRO,20-Nov-2009,178.60,182.80,178.60,181.29,3558202
ENGRO,23-Nov-2009,181.90,181.90,177.70,178.56,1133761
ENGRO,24-Nov-2009,178.73,180.75,177.25,178.21,1616627
ENGRO,25-Nov-2009,180.00,180.70,177.99,178.84,1566656
ENGRO,26-Nov-2009,178.70,182.80,178.53,181.48,1370103
ENGRO,01-Dec-2009,181.48,181.48,177.80,178.99,910601
ENGRO,02-Dec-2009,180.00,181.69,178.39,180.85,1612839
ENGRO,03-Dec-2009,181.25,181.75,179.20,179.52,1140003
ENGRO,04-Dec-2009,179.36,179.79,177.00,177.45,571153
ENGRO,07-Dec-2009,177.90,177.95,175.99,177.30,1123739
ENGRO,08-Dec-2009,175.72,177.65,173.00,173.48,1349298
ENGRO,09-Dec-2009,173.95,175.80,171.75,173.65,819815
ENGRO,10-Dec-2009,174.10,180.80,174.01,178.01,2174399
ENGRO,11-Dec-2009,178.90,179.50,176.70,176.96,541075
ENGRO,14-Dec-2009,177.65,185.80,177.65,185.11,4545351
ENGRO,15-Dec-2009,185.70,187.79,181.40,182.23,3417018
ENGRO,16-Dec-2009,182.50,184.18,180.66,181.89,1600871
ENGRO,17-Dec-2009,183.00,185.50,181.00,181.33,1193594
ENGRO,18-Dec-2009,181.20,181.85,179.40,180.22,625922
ENGRO,21-Dec-2009,180.00,182.24,180.00,181.95,747413
ENGRO,22-Dec-2009,183.00,184.75,182.50,183.00,1806073
ENGRO,23-Dec-2009,183.48,183.80,181.60,181.91,1071566
ENGRO,24-Dec-2009,182.05,185.48,182.00,184.26,2057325
ENGRO,29-Dec-2009,182.40,184.49,182.00,183.63,424531
ENGRO,30-Dec-2009,185.00,190.97,184.99,186.84,7202460
ENGRO,31-Dec-2009,186.40,187.30,182.50,183.27,3524826
ENGRO,04-Jan-2010,183.50,185.40,182.60,184.42,1322527
ENGRO,05-Jan-2010,185.40,188.75,185.00,188.00,2841411
ENGRO,06-Jan-2010,188.54,193.00,188.54,189.77,4677717
ENGRO,07-Jan-2010,189.77,191.88,187.90,188.23,2350054
ENGRO,08-Jan-2010,188.60,192.30,188.20,191.42,3140941
ENGRO,11-Jan-2010,193.80,196.75,193.06,194.12,4511430
ENGRO,12-Jan-2010,194.30,194.40,191.80,192.31,1081059
ENGRO,13-Jan-2010,192.30,194.50,192.30,192.85,901835
ENGRO,14-Jan-2010,193.60,194.40,191.11,193.33,1918563
ENGRO,15-Jan-2010,194.50,196.75,194.01,194.72,1533012
ENGRO,18-Jan-2010,194.72,198.00,194.10,195.52,2004295
ENGRO,19-Jan-2010,196.20,199.39,195.49,196.06,2542538
ENGRO,20-Jan-2010,196.70,197.11,192.35,193.18,1934576
ENGRO,21-Jan-2010,193.40,193.45,188.40,190.39,2224207
ENGRO,22-Jan-2010,190.55,196.89,187.50,193.98,5793527
ENGRO,25-Jan-2010,195.50,195.70,190.50,191.04,1323881
ENGRO,26-Jan-2010,191.30,193.10,190.60,191.28,1294965
ENGRO,27-Jan-2010,191.50,193.10,190.01,190.51,1296936
ENGRO,28-Jan-2010,190.99,192.98,188.80,192.55,2228815
